obj,time,method,robj
188.53329255473267,36.348988956999996,PGD,0.3005256680870668
188.53329025774227,36.350949089,PGD,0.3005233710966645
188.5332879607547,36.35294781299999,PGD,0.30052107410910434
188.53328566376834,36.35494553699999,PGD,0.3005187771227379
188.53328336678513,36.35693631699999,PGD,0.30051648013952625
188.53328106980274,36.358929763999996,PGD,0.30051418315713885
188.5332787728245,36.36089756599999,PGD,0.300511886178901
188.53327647584936,36.36287942999999,PGD,0.30050958920376114
188.53327417887434,36.36487415399999,PGD,0.30050729222873496
188.53327188190366,36.366869761,PGD,0.3005049952580573
188.53326958493417,36.36886798999999,PGD,0.30050269828857334
188.5332672879686,36.37085412599999,PGD,0.3005004013230116
188.53326499100464,36.372858896,PGD,0.30049810435904145
188.53326269404357,36.37487098399999,PGD,0.3004958073979703
188.53326039708398,36.376882488999996,PGD,0.30049351043837713
188.53325810012782,36.378903169999994,PGD,0.30049121348222296
188.53325580317394,36.38092475599999,PGD,0.30048891652834253
188.53325350622217,36.38288906,PGD,0.3004866195765653
188.53325120927246,36.38483817499999,PGD,0.30048432262686287
188.53324891232572,36.38679883,PGD,0.3004820256801163
188.5332466153821,36.388788139999996,PGD,0.3004797287364961
188.5332443184411,36.39082704599999,PGD,0.3004774317954907
188.53324202150148,36.39282976199999,PGD,0.30047513485587796
188.53323972456505,36.39485128999999,PGD,0.30047283791944845
188.53323742762905,36.39685955699999,PGD,0.3004705409834453
188.53323513069708,36.398864296999996,PGD,0.300468244051478
188.5332328337687,36.40354745399999,PGD,0.3004659471230918
188.53323053684102,36.40568230299999,PGD,0.3004636501954162
188.53322823991584,36.407737104999995,PGD,0.3004613532702417
188.5332259429942,36.40970601499999,PGD,0.3004590563485915
188.53322364607445,36.41171007599999,PGD,0.30045675942884553
188.53322134915766,36.41374288099999,PGD,0.30045446251205543
188.5332190522429,36.415754459999995,PGD,0.3004521655973117
188.53321675532993,36.41778648499999,PGD,0.3004498686843301
188.53321445841914,36.41981457799999,PGD,0.300447571773537
188.5332121615113,36.421822006999996,PGD,0.3004452748656997
188.53320986460804,36.423782337999995,PGD,0.30044297796243835
188.5332075677039,36.425737672,PGD,0.3004406810582959
188.533205270805,36.42769997199999,PGD,0.3004383841594115
188.533202973907,36.42970956399999,PGD,0.30043608726140814
188.53320067701182,36.431735927999995,PGD,0.30043379036621853
188.5331983801174,36.433759736999995,PGD,0.3004314934717963
188.53319608322914,36.435774159999994,PGD,0.3004291965835416
188.53319378634058,36.437786075999995,PGD,0.30042689969497427
188.53319148945474,36.43981343099999,PGD,0.3004246028091354
188.53318919257254,36.441844401999994,PGD,0.30042230592693453
188.53318689569127,36.44385733399999,PGD,0.30042000904567157
188.53318459881325,36.44585511,PGD,0.3004177121676487
188.53318230193872,36.447848183999994,PGD,0.30041541529312166
188.53318000506465,36.449826372,PGD,0.3004131184190494
188.5331777081942,36.45183426199999,PGD,0.30041082154858667
188.53317541132586,36.45384125299999,PGD,0.3004085246802556
188.53317311445983,36.45586842899999,PGD,0.30040622781422666
188.53317081759732,36.457877671999995,PGD,0.300403930951722
188.53316852073536,36.459884439999996,PGD,0.3004016340897574
188.5331662238773,36.461885884999994,PGD,0.30039933723168655
188.53316392702183,36.46384705799999,PGD,0.3003970403762305
188.53316163016743,36.465785389,PGD,0.30039474352182605
188.53315933331655,36.467760891999994,PGD,0.3003924466709459
188.53315703646825,36.46976232899999,PGD,0.3003901498226521
188.53315473962166,36.471807266999996,PGD,0.30038785297606363
188.53315244277687,36.473834178,PGD,0.3003855561312657
188.5331501459375,36.47584033999999,PGD,0.30038325929189635
188.53314784909716,36.477867044999996,PGD,0.30038096245156065
188.53314555226137,36.479892303999996,PGD,0.3003786656157724
188.53314325542732,36.481950915999995,PGD,0.3003763687817179
188.5331409585956,36.483971475999994,PGD,0.300374071949994
188.53313866176697,36.48599779599999,PGD,0.30037177512136803
188.53313636494048,36.488021434,PGD,0.3003694782948737
188.53313406811552,36.48999719399999,PGD,0.30036718146991415
188.53313177129425,36.49199939299999,PGD,0.3003648846486494
188.5331294744741,36.49402821499999,PGD,0.3003625878284931
188.5331271776579,36.496052713999994,PGD,0.30036029101228745
188.5331248808439,36.49808091399999,PGD,0.3003579941982987
188.53312258403156,36.50012279599999,PGD,0.30035569738595835
188.53312028722226,36.50209328799999,PGD,0.30035340057665916
188.53311799041518,36.50403999899999,PGD,0.30035110376957685
188.5331156936099,36.50600254599999,PGD,0.3003488069642851
188.53311339680843,36.50796936599999,PGD,0.3003465101628303
188.53311110000834,36.50997916699999,PGD,0.30034421336273975
188.53310880321206,36.51202105899999,PGD,0.3003419165664577
188.53310650641654,36.51403160499999,PGD,0.30033961977094303
188.53310420962413,36.51605122499999,PGD,0.30033732297852633
188.53310191283444,36.518084632999994,PGD,0.3003350261888381
188.533099616047,36.520107192999994,PGD,0.3003327294013952
188.53309731926237,36.52214505599999,PGD,0.30033043261676606
188.53309502247842,36.524165554999996,PGD,0.30032813583281903
188.5330927256994,36.526182344999995,PGD,0.30032583905378896
188.53309042892096,36.52818723499999,PGD,0.30032354227535574
188.53308813214642,36.530309628999994,PGD,0.3003212455008163
188.533085835374,36.53234884599999,PGD,0.3003189487284085
188.5330835386033,36.53437818599999,PGD,0.30031665195770596
188.53308124183528,36.53640065199999,PGD,0.3003143551896751
188.53307894506978,36.538420562999995,PGD,0.30031205842417374
188.53307664830734,36.5405075,PGD,0.30030976166174195
188.53307435154701,36.54250678999999,PGD,0.30030746490141336
188.5330720547885,36.544459710999995,PGD,0.30030516814290376
188.5330697580345,36.54641006599999,PGD,0.3003028713888848
188.5330674612802,36.54838031199999,PGD,0.30030057463461
188.53306516452926,36.550400982999996,PGD,0.3002982778836606
188.5330628677802,36.554611619999996,PGD,0.300295981134587
188.5330605710362,36.55713316199999,PGD,0.3002936843906009
188.5330582742926,36.55923773399999,PGD,0.3002913876470127
188.53305597755104,36.561347170999994,PGD,0.3002890909054424
188.53305368081303,36.56339714999999,PGD,0.3002867941674249
188.5330513840765,36.56541190899999,PGD,0.30028449743088526
188.53304908734245,36.56741911899999,PGD,0.30028220069684675
188.5330467906121,36.56938162099999,PGD,0.30027990396650306
188.53304449388384,36.571369890999996,PGD,0.30027760723823416
188.53304219715668,36.57336854999999,PGD,0.3002753105110737
188.53303990043275,36.575360771999996,PGD,0.3002730137871533
